"year","hatchdate","cs","layday","recruit"
1980,134,12,19,0
1981,135,10,18,0
1980,140,11,23,2
1980,139,6,27,1
1981,135,8,23,2
1980,139,9,27,1
1980,141,9,28,0
1980,147,11,33,2
1980,147,11,31,1
1981,141,9,24,2
1981,136,12,14,1
1980,138,14,19,1
1981,134,8,15,2
1980,168,7,58,NA
1980,143,11,30,0
1981,146,11,36,1
1980,142,10,27,0
1980,169,9,57,NA
1982,NA,9,21,0
1981,132,8,20,0
1983,129,10,16,1
1983,133,10,21,0
1983,132,10,20,0
1983,134,11,21,1
1983,136,8,28,0
1983,134,11,19,1
1983,135,11,23,0
1983,136,11,21,1
1983,138,8,28,0
1983,137,11,23,0
1984,159,8,48,0
1983,138,11,26,1
1983,138,11,26,0
1983,139,12,24,1
1983,137,10,25,0
1985,137,11,24,1
1983,139,10,29,2
1984,160,9,49,0
1983,137,8,28,2
1984,148,7,38,2
1983,137,7,26,0
1983,137,7,26,0
1983,142,8,32,1
1983,143,9,29,0
1985,147,10,34,0
1984,NA,8,43,0
1984,171,7,61,NA
1983,138,9,25,0
1983,137,11,24,1
1983,141,10,30,1
1983,142,8,31,1
1983,146,7,38,0
1983,144,6,33,0
1983,142,11,30,0
1983,141,9,31,0
1984,NA,10,47,0
1984,NA,8,65,0
1983,144,9,32,1
1983,146,10,35,0
1984,150,12,35,0
1983,148,9,34,1
1985,137,14,21,1
1983,145,7,32,0
1983,147,8,31,0
1983,145,8,34,1
1983,148,9,37,0
1984,163,5,49,0
1983,149,5,39,0
1985,138,8,25,1
2005,135,9,21,0
2005,132,6,24,1
2005,129,7,14,0
2005,131,6,17,0
1981,138,10,18,0
1980,141,10,25,4
1983,142,6,34,0
1990,130,9,17,0
1989,131,9,22,2
1988,144,7,35,0
1988,150,10,38,0
1989,138,11,26,0
1983,142,7,33,0
1983,141,10,29,0
1984,148,10,35,0
1984,149,9,37,0
1983,148,9,38,1
1988,144,2,28,0
1985,138,11,23,0
1984,157,9,43,0
1985,137,8,26,0
1984,157,8,47,0
1986,151,11,36,3
1985,136,12,19,1
1984,161,9,46,0
1984,156,6,46,1
1984,152,8,40,1
1985,139,9,28,4
1984,158,9,45,1
1986,150,6,41,0
1984,159,6,52,0
1985,140,7,32,1
1983,148,10,36,0
1983,149,10,32,0
1983,135,9,25,0
1985,134,9,21,0
1984,141,8,28,0
1984,146,11,31,3
1983,141,10,30,0
1983,146,7,37,0
1983,147,8,38,0
1983,146,9,33,1
1984,149,7,36,1
1984,153,9,43,0
1983,148,9,36,1
1983,144,11,30,0
1984,146,9,31,0
1983,138,11,26,1
1983,141,9,30,1
1983,138,11,27,1
1984,143,10,30,1
1983,144,10,33,2
1983,143,9,32,1
1983,140,8,31,0
1983,143,11,31,0
1983,138,10,27,1
1983,140,9,30,2
1983,140,8,30,1
1984,155,8,38,0
1983,142,9,30,0
1983,142,12,28,0
1985,144,11,30,5
1984,153,10,37,0
1983,140,8,30,0
1984,141,9,29,1
1983,141,8,32,1
1983,143,9,31,0
1983,142,9,29,0
1983,144,9,31,1
1984,162,9,52,0
1983,143,8,34,0
1985,142,9,31,2
1985,133,9,20,1
1986,178,7,69,NA
1985,131,14,15,1
1985,135,11,21,0
1985,136,13,21,0
1985,133,12,20,3
1985,133,10,22,0
1985,134,10,22,1
1987,133,10,22,0
1985,139,9,27,2
1987,133,11,21,1
1988,138,8,25,0
1985,142,10,28,0
1986,151,10,37,0
1985,145,7,36,2
1985,138,10,24,0
1985,145,6,36,0
1986,161,10,51,0
1987,131,10,20,1
1985,140,10,27,0
1985,146,9,34,1
1986,138,8,30,0
1984,163,9,52,0
1984,162,7,53,0
1984,162,7,46,0
1987,129,12,17,1
1986,149,7,41,0
1987,132,8,23,0
1986,145,8,36,1
1984,145,10,28,1
1984,147,8,40,0
1984,156,9,43,2
1984,149,9,37,0
1987,134,10,22,4
1986,176,6,68,NA
1985,136,8,20,2
1986,147,10,36,0
1984,151,10,36,0
1985,139,10,25,1
1985,133,9,20,2
1987,129,10,19,1
1988,139,9,27,1
1984,141,8,26,1
1986,143,9,32,5
1988,141,7,27,1
1985,140,6,23,0
1984,149,8,34,1
1984,153,8,34,0
1986,147,10,33,2
1985,148,10,35,1
1984,151,6,41,0
1984,144,6,29,0
1985,136,10,21,2
1984,150,9,40,1
1984,153,7,42,1
1985,144,9,34,0
